"lga_id","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga","longitude","latitude"
380,168473,"Jada","Adamawa","Northeast",2790.615366,"Others",60.3712722479147,"adamawa_jada",12.3233344510283,8.67570178380748
381,229094,"Jahun","Jigawa","Northwest",1171.046568,"Others",195.631844420383,"jigawa_jahun",9.5560278540345,12.0735536703085
382,229083,"Jakusko","Yobe","Northeast",3937.348312,"Others",58.1820509254453,"yobe_jakusko",10.9012298644746,12.4172338547893
383,139845,"Jalingo","Taraba","Northeast",190.568538,"Others",733.830471008808,"taraba_jalingo",11.326424038649,8.91949689810064
384,117883,"Jama'are","Bauchi","Northeast",492.3779499,"Others",239.415676562977,"bauchi_jama_are",9.91424943692991,11.717386544167
385,193352,"Jega","Kebbi","Northwest",891.9516804,"Others",216.774074480459,"kebbi_jega",4.43568157709822,12.0801660383753
386,278735,"Jema'a","Kaduna","Northwest",1661.122975,"Others",167.799136003161,"kaduna_jema_a",8.26141499303134,9.36775528289238
387,211204,"Jere","Borno","Northeast",866.3309927,"Others",243.79134739456,"borno_jere",13.1708831205823,11.9085165996958
388,169748,"Jibia","Katsina","Northwest",1037.127793,"Others",163.67124779193,"katsina_jibia",7.28580428966327,12.9886525033451
389,85602,"Jos East","Plateau","North-Central",1019.20617,"Others",83.9888950044327,"plateau_jos_east",9.11966849832157,9.88536823464746
390,429300,"Jos North","Plateau","North-Central",291.4070485,"Others",1473.19703558921,"plateau_jos_north",8.90502193424531,9.93414312344068
391,306716,"Jos South","Plateau","North-Central",509.7119431,"Others",601.743796966173,"plateau_jos_south",8.83302362660921,9.74999032621149
